docid,author,datetype,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title,volgenre
mdp.39015008825781,"Baroness, Orczy, Emmuska Orczy,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015008825781.basic.json.bz2,Fiction,"London|New York [etc.|Cassell and company, ltd.|1926",1926,,37758949,enk,000322209,fic,1926,,Lady Molly of Scotland yard,fic
mdp.39015016440177,"Fisher, Vardis,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015016440177.basic.json.bz2,Fiction,"Garden City, N. Y.|Doubleday|1956.",1956,PZ3.F539Pe,1724330,nyu,000432008,fic,1956,Hudson's Bay Company,Pemmican;,fic
mdp.39015059374721,,s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015059374721.basic.json.bz2,Fiction,London|Peter Davies limited|1934.,1934,,12063087,enk,000200592,fic,1934,"Fairy tales|Short stories, English",The fairies return,fic
mdp.49015002972348,"Walker, Walter.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.49015002972348.basic.json.bz2,Fiction,New York|Pocket Books|c1993.,1993,PS3573.A425417A85 1993,26397405,nyu,005027752,fic,1993,Fiction,The appearance of impropriety,fic
inu.32000009191596,"Balchin, Nigel,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.32000009191596.basic.json.bz2,Fiction,Boston|Houghton Mifflin company|1945.,1945,,485000,mau,006058920,fic,1945,,The small back room,fic
mdp.39015013950624,"Christie, Agatha,",c,1958,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015013950624.basic.json.bz2,Fiction,"New York|Dodd, Mead|1977, c1958.",1977,PZ3.C4637Mm 1977PR6005.H66,3552753,nyu,000089989,fic,1977,,The murder at the vicarage,fic
mdp.39015018868862,"Frame, Janet.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015018868862.basic.json.bz2,Fiction,London|Pandora|1990.,1990,,20596977,enk,002237924,fic,1990,,Daughter buffalo,fic
mdp.39015018936222,"Lu, Xun,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015018936222.basic.json.bz2,Fiction,Honolulu|University of Hawaii Press|c1990.,1990,PL2754.S5A25 1990,21523037,hiu,002225120,fic,1990,"Lu, Xun|Translations, English|1881-1936",Diary of a madman and other stories,fic
mdp.39015046342195,"Behan, Brendan.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015046342195.basic.json.bz2,Fiction,New York|B. Geis Associates; distributed by Random House|1962,1962,PR6003.E417Z54,2438831,nyu,000425200,fic,1962,,Brendan Behan's island;,bio
mdp.39076000973920,"(Pamela Lyndon), Travers, P. L.",c,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39076000973920.basic.json.bz2,Fiction|Juvenile audience,San Diego|Harcourt Brace Jovanovich|1963?,1963,,15143507,cau,009920946,fic,1963,Juvenile fiction|Fantasy fiction,Mary Poppins comes back,fic
mdp.39015066637482,"Berdoe, Edward,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015066637482.basic.json.bz2,Bibliographies|Fiction,"London|G. Allen & Unwin, ltd.|New York|The Macmillan company|1928",1928,,6948994,enk,000434992,fic,1928,"Browning, Robert|1812-1889",The Browning cyclopaedia;,non
uc1.$b151102,"Leroux, Etienne.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b151102.basic.json.bz2,Fiction,Boston|Houghton Mifflin Co.|1969.,1969,PZ4.L62ThPT6592.22.E7,6004,mau,001199282,fic,1969,,The third eye,fic
uc1.$b299105,"Prichard, Katharine Susannah,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b299105.basic.json.bz2,Fiction,"New York, W. W. Norton|c1930",1930,PZ3.P933Co2,4102383,nyu,006532789,fic,1930,,Coonardoo,fic
uc1.$b80867,"Martin Du Gard, Roger,",s,    ,v. 1,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b80867.basic.json.bz2,Fiction,New York|Boni & Liveright|1926-,1926,PZ3.M3665Th,1262008,nyu,006589518,fic,1926,,The Thibaults;,fic
uc1.b4098294,"(Phyllis Reid), Fenner, Phyllis R.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b4098294.basic.json.bz2,Fiction|Juvenile audience,New York|William Morrow|1963.,1963,PZ5.F35Dar,296868,nyu,006153251,fic,1963,Children's stories,The dark and bloody ground,fic
mdp.39015004077924,"Lermontov, Mikhail I͡Urʹevich,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015004077924.basic.json.bz2,Novel,Moscow|Foreign Languages Pub. House|1957?,1957,PG3337.L4G413 1957,5069102,ru ,004680863,fic,1957,,A hero of our time,fic
